index,id,sentence,from,to,aspect,polarity
62,1433,Nightly my computer defrags itself and runs a virus scan.,46,56,virus scan,neutral
63,1669,"It's like 9 punds, but if you can look past it, it's GREAT!",10,17,9 punds,negative
64,2462,It's just as fast with one program open as it is with sixteen open.,27,34,program,neutral
65,2719,"Still under warrenty so called Toshiba, no help at all.",12,20,warrenty,negative
66,1224,I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,120,136,Toshiba Warranty,negative
67,2492,Amazing Quality!,8,15,Quality,positive
68,1541,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,48,54,webcam,neutral
69,1541,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,71,76,value,positive
70,3060,"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",27,35,internet,neutral
71,3060,"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",41,64,managing personal files,neutral
72,915,"A month or so ago, the freaking motherboard just died.",32,43,motherboard,negative
73,2050,"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",4,10,system,negative
74,460,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,30,37,charger,negative
75,460,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,92,100,hardware,negative
76,1524,"If a website ever freezes (which is rare), its really easy to force quit.",62,72,force quit,positive
77,803,It rarely works and when it does it's incredibly slow.,10,15,works,negative
78,2225,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,66,75,Windows 7,positive
79,2225,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,95,109,VMWare program,neutral
80,2644,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",44,60,operating system,positive
81,2644,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",84,88,runs,positive
82,2644,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",23,31,navigate,positive
83,2644,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",65,75,find files,positive
84,1365,Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,64,72,warrenty,negative
85,2033,"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.",25,42,extended warranty,neutral
86,2271,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,16,22,memory,neutral
87,2271,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,98,103,speed,positive
88,2271,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,75,85,performace,positive
89,103,"The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.",92,119,opening my Documents folder,negative
90,1149,I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,93,110,operating systems,negative
91,900,"Then, within 5 months, the charger crapped out on me.",27,34,charger,negative
92,1649,And if you have a iphone or ipod touch you can connect and download songs to it at high speed.,88,93,speed,positive
93,446,I love the glass touchpad.,11,25,glass touchpad,positive
94,1912,  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,66,76,hard drive,negative
95,1912,  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,81,93,mother board,negative
96,2752,I am using the external speaker- sound is good.,15,31,external speaker,positive
97,2752,I am using the external speaker- sound is good.,33,38,sound,positive
98,2381,"still testing the battery life as i thought it would be better, but am very happy with the upgrade.",18,30,battery life,negative
99,404,"Then HP sends it back to me with the hardware screwed up, not able to connect.",37,45,hardware,negative
100,407,"Oh yeah, don't forget the expensive shipping to and from HP.",36,44,shipping,negative
101,1731,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",30,42,Mac software,positive
102,1731,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",72,90,Microsoft software,negative
103,1731,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",25,28,use,positive
104,1186,"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",80,91,delete  key,negative
105,1186,"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",32,39,editing,negative
106,2470,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,12,15,use,positive
107,2470,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,28,35,service,positive
108,2470,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,60,76,phone assistance,positive
109,2470,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,99,109,genius bar,positive
110,331,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",17,29,battery life,positive
111,331,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",180,192,battery life,positive
112,331,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",142,148,gaming,neutral
113,331,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",153,166,movie playing,neutral
114,331,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",48,60,web browsing,neutral
115,331,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",65,77,word editing,neutral
116,1057,"Acer has set me up with FREE recovery discs, when they are available since I asked.",29,43,recovery discs,positive
117,1095,"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause.",17,45,"Office Max's ""Max Assurance""",neutral
118,1718,I eventually did the migration from my iMac backup disc which uses USB.,39,55,iMac backup disc,neutral
119,1718,I eventually did the migration from my iMac backup disc which uses USB.,67,70,USB,neutral
120,2923,"The battery life seems to be very good, and have had no issues with it.",4,16,battery life,positive
121,3027,Enabling the battery timer is useless.,13,26,battery timer,negative
122,654,Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,0,12,Temperatures,neutral
123,654,Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,64,97,Core Processing Unit temperatures,neutral
124,1110,Going to bring it to service today.,21,28,service,neutral
125,1488,"There is no need to purchase virus protection for Mac, which saves me a lot of time and money.",29,53,virus protection for Mac,positive
126,488,"But we had paid for bluetooth, and there was none.",20,29,bluetooth,negative
127,1289,"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",22,48,LG notebook service center,neutral
128,1289,"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",93,98,hinge,negative
129,2985,"My daughter uses it for games, email, facebook, pictures and music.",24,29,games,neutral
130,1573,"It is always reliable, never bugged and responds well.",40,48,responds,positive
131,1928,After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,63,74,motherboard,negative
132,1928,After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,114,125,motherboard,neutral
133,1099,"It was slow, locked up, and also had hardware replaced after only 2 months!",37,45,hardware,negative
134,1347,they had to replace the motherboard in April,24,35,motherboard,negative
135,1408,"Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.",110,113,use,positive
136,1374,"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",31,56,representive at Microsoft,negative
137,1374,"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",170,176,system,negative
138,1374,"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",217,219,XP,positive
139,2864,I love WIndows 7 which is a vast improvment over Vista.,7,16,WIndows 7,positive
140,2864,I love WIndows 7 which is a vast improvment over Vista.,49,54,Vista,negative
141,30,"Keyboard is great, very quiet for all the typing that I do.",0,8,Keyboard,positive
142,474,Dell's customer disservice is an insult to it's customers who pay good money for shoddy products.,0,26,Dell's customer disservice,negative
143,156,"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",9,23,cooling system,negative
144,156,"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",64,67,use,neutral
145,2095,"I can render AVCHD movies with little effort, which was a problem for most pc's unless you had a quad core I7.",97,109,quad core I7,positive
146,1722,"After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook.",50,65,sales associate,positive
147,2004,"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",29,35,system,positive
148,2004,"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",58,78,Windows applications,neutral
149,2296,You won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.,58,71,virus program,negative
150,493,It weighed like seven pounds or something like that.,3,10,weighed,neutral
151,493,It weighed like seven pounds or something like that.,16,28,seven pounds,neutral
152,902,"2 months later, the battery went.",20,27,battery,negative
153,2433,You may need to special order a bag.,32,35,bag,neutral
154,1675,It's color is even cool.,5,10,color,positive
155,609,keys are all in weird places and is way too large for the way it is designed.,0,4,keys,negative
156,609,keys are all in weird places and is way too large for the way it is designed.,68,76,designed,negative
157,296,"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",95,100,style,positive
158,296,"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",102,107,speed,positive
159,2335,The keyboard feels good and I type just fine on it.,4,12,keyboard,positive
160,2416,I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.,76,84,mousepad,neutral
161,1471,"And not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying.",62,69,battery,negative
162,1427,"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",26,31,sales,positive
163,1427,"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",33,40,service,positive
164,1427,"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",128,140,DELL SUPPORT,positive
165,911,"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",133,143,hard drive,neutral
166,911,"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",152,163,motherboard,neutral
167,2001,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",58,63,speed,positive
168,2001,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",65,85,construction quality,positive
169,2001,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",91,100,longevity,positive
170,2001,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",10,14,cost,conflict
171,2465,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",71,79,keyboard,positive
172,2465,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",84,88,keys,positive
173,2465,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",118,146,"configuration of ""extra key""",positive
174,2331,) I also tried the touch pad and compared it to other netbooks in the store.,19,28,touch pad,neutral
175,599,"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",70,73,use,positive
176,599,"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",75,83,security,positive
177,599,"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",146,154,pricetag,conflict
178,823,"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",36,39,use,negative
179,823,"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",92,96,work,negative
180,3006,lots of preloaded software.,8,26,preloaded software,positive
181,2941,"I wish it had a webcam though, then it would be perfect!",16,22,webcam,negative
182,2776,My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,51,59,vga port,positive
183,2776,My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,92,98,screen,neutral
184,1686,Another thing I might add is the battery life is excellent.,33,45,battery life,positive
185,2091,"One drawback, I wish the keys were backlit.",25,29,keys,negative
186,1259,"Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a Toshiba R700 that seems even nicer and I was able to load all of my software with no problem.",200,208,software,positive
187,2938,I wish the volume could be louder and the mouse didnt break after only a month.,11,17,volume,negative
188,2938,I wish the volume could be louder and the mouse didnt break after only a month.,42,47,mouse,negative
189,2574,"I play a lot of casual games online, and the touchpad is very responsive.",45,53,touchpad,positive
190,2351,"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker.",100,108,boots up,positive
191,526,It caught a virus that completely wiped out my hard drive in a matter of hours.,47,57,hard drive,negative
192,3020,"It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.",46,70,look and feel standpoint,positive
193,2541,the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,61,67,safari,negative
194,2541,the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,83,89,safari,negative
195,2541,the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,110,125,Mozzilla firfox,positive
196,1069,"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",4,13,Bluetooth,negative
197,1069,"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",44,69,fingerprint reader driver,negative
198,1069,"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",94,102,software,negative
199,1553,"Great battery, speed, display.",6,13,battery,positive
200,1553,"Great battery, speed, display.",15,20,speed,positive
201,1553,"Great battery, speed, display.",22,29,display,positive
202,2874,"The delivery was fast, and I would not hesitate to purchase this laptop again.",4,12,delivery,positive
203,2385,I've been impressed with the battery life and the performance for such a small amount of memory.,29,41,battery life,positive
204,2385,I've been impressed with the battery life and the performance for such a small amount of memory.,50,61,performance,positive
205,2385,I've been impressed with the battery life and the performance for such a small amount of memory.,89,95,memory,negative
206,1654,"It's applications are terrific, including the replacements for Microsoft office.",5,17,applications,positive
207,1654,"It's applications are terrific, including the replacements for Microsoft office.",63,79,Microsoft office,positive
208,3058,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",35,45,Resolution,negative
209,3058,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",47,57,appearance,negative
210,3058,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",59,73,cooling system,negative
211,3058,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",75,88,graphics card,negative
212,1937,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",21,36,built-in webcam,negative
213,1937,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",41,53,built-in mic,negative
214,1937,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",269,272,cam,negative
215,1937,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",277,280,mic,negative
216,104,Is this partially due to the fact that it is running Windows Vista?,53,66,Windows Vista,neutral
217,1417,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,6,11,board,negative
218,1417,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,22,31,connector,negative
219,1417,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,41,53,power supply,negative
220,1417,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,72,80,warrenty,negative
221,1417,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,93,105,power supply,negative
222,2886,"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",115,123,ethernet,positive
223,2886,"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",85,90,works,positive
224,2124,Mostly I love the drag and drop feature.,18,39,drag and drop feature,positive
225,260,"oh yeah, and if the fancy webcam breaks guess who you have to send it to to get it fixed?",26,32,webcam,negative
