index,id,sentence,from,to,aspect,polarity
50,allsides_1616_652_5_President-elect Donald Trump_13_15,"In doing so, he adds some diversity to his cabinet (Haley is his first female addition to his senior leadership) and also throws a bone to establishment conservatives by adding one of their favorites.",52,57,Haley,positive
51,allsides_1635_660_21_Richard Shelby (R-Ala.)_0_23,Richard Shelby (R-Ala.) had issued a statement Thursday night that said Sessions had the necessary experience to be the nation’s top law enforcement official.,0,23,Richard Shelby (R-Ala.),neutral
52,allsides_1635_660_21_Richard Shelby (R-Ala.)_0_23,Richard Shelby (R-Ala.) had issued a statement Thursday night that said Sessions had the necessary experience to be the nation’s top law enforcement official.,72,80,Sessions,positive
53,allsides_1683_684_15_FBI Director James Comey_37_42,"“I cannot think of any reason except Comey’s own personal interests to make public the possibility that there may be emails whose content he does not know that may be relevant to the investigation,” Gertner said.",199,206,Gertner,neutral
54,allsides_1683_684_15_FBI Director James Comey_37_42,"“I cannot think of any reason except Comey’s own personal interests to make public the possibility that there may be emails whose content he does not know that may be relevant to the investigation,” Gertner said.",37,42,Comey,negative
55,allsides_1684_684_15_former director L. Patrick Gray_82_113,"“Comey’s letter to the Hill was the most embarrassing moment for the Bureau since former director L. Patrick Gray burned Watergate documents in his fireplace,” diGenova judges.",82,113,former director L. Patrick Gray,negative
56,allsides_1684_684_15_former director L. Patrick Gray_82_113,"“Comey’s letter to the Hill was the most embarrassing moment for the Bureau since former director L. Patrick Gray burned Watergate documents in his fireplace,” diGenova judges.",1,6,Comey,negative
57,allsides_1696_690_32_Gingrich_70_78,This article has been updated with additional comments from Trump and Gingrich.,60,65,Trump,neutral
58,allsides_1696_690_32_Gingrich_70_78,This article has been updated with additional comments from Trump and Gingrich.,70,78,Gingrich,neutral
59,allsides_1715_698_3_Donald Trump's_185_190,"Foval describes colluding with Bob Creamer, co-founder of consulting group Democracy Partners, to ""put people in the line, at the front . . . to get in front at the rally, so that when Trump comes down the rope line, they’re the ones asking him the question in front of the reporter, because they’re pre-placed there.""",0,5,Foval,negative
60,allsides_1715_698_3_Donald Trump's_185_190,"Foval describes colluding with Bob Creamer, co-founder of consulting group Democracy Partners, to ""put people in the line, at the front . . . to get in front at the rally, so that when Trump comes down the rope line, they’re the ones asking him the question in front of the reporter, because they’re pre-placed there.""",185,190,Trump,neutral
61,allsides_1718_700_12_Democratic rival Hillary Clinton_128_135,"He cited the example of a hacked email recently released by WikiLeaks that shows that representatives from Qatar in 2012, while Clinton was secretary of state, apparently tried to get a quick meeting with Clinton’s husband, former President Bill Clinton, to give him a $1 million check for the family foundation.",0,2,He,neutral
62,allsides_1718_700_12_Democratic rival Hillary Clinton_128_135,"He cited the example of a hacked email recently released by WikiLeaks that shows that representatives from Qatar in 2012, while Clinton was secretary of state, apparently tried to get a quick meeting with Clinton’s husband, former President Bill Clinton, to give him a $1 million check for the family foundation.",128,135,Clinton,negative
63,allsides_1728_704_1_Donald Trump_42_54,"Seven months ago, on the ides of March, Donald Trump won every primary contest except Ohio, knocked Marco Rubio out of the race, and left the Republican Party’s leaders facing a stark choice.",100,111,Marco Rubio,negative
64,allsides_1728_704_1_Donald Trump_42_54,"Seven months ago, on the ides of March, Donald Trump won every primary contest except Ohio, knocked Marco Rubio out of the race, and left the Republican Party’s leaders facing a stark choice.",40,52,Donald Trump,positive
65,allsides_1735_706_5_Hillary Clinton_37_44,SEE ALSO: ‘Locker-room talk’ prompts Clinton attacks; Trump apologies THE FACTS: He certainly didn’t own up to sexual assault in his boastful remarks in 2005.,54,59,Trump,negative
66,allsides_1735_706_5_Hillary Clinton_37_44,SEE ALSO: ‘Locker-room talk’ prompts Clinton attacks; Trump apologies THE FACTS: He certainly didn’t own up to sexual assault in his boastful remarks in 2005.,37,44,Clinton,negative
67,allsides_1737_707_2_Cooper_32_38,"Then, Trump questioned Anderson Cooper, who moderated along with Martha Raddatz as to why he hasn't done his job as a journalist and mentioned the Democratic nominee's email scandal.",65,79,Martha Raddatz,neutral
68,allsides_1737_707_2_Cooper_32_38,"Then, Trump questioned Anderson Cooper, who moderated along with Martha Raddatz as to why he hasn't done his job as a journalist and mentioned the Democratic nominee's email scandal.",32,38,Cooper,negative
69,allsides_1737_707_5_Cooper_53_59,"After 50 minutes of the debate, the RNC tallied that Cooper and Raddatz had interrupted Trump 14 times, and Clinton just three times.",53,59,Cooper,negative
70,allsides_1737_707_5_Cooper_53_59,"After 50 minutes of the debate, the RNC tallied that Cooper and Raddatz had interrupted Trump 14 times, and Clinton just three times.",64,71,Raddatz,negative
71,allsides_173_71_1_host Savannah Guthrie_78_99,House Speaker Paul Ryan had a tough time on the “Today Show” Wednesday when host Savannah Guthrie asked if he was “living in a fantasy world.”,76,97,host Savannah Guthrie,neutral
72,allsides_173_71_1_host Savannah Guthrie_78_99,House Speaker Paul Ryan had a tough time on the “Today Show” Wednesday when host Savannah Guthrie asked if he was “living in a fantasy world.”,14,23,Paul Ryan,negative
73,allsides_1742_709_36_Donald Trump:_9_14,"Bush and Trump on that bus are, in so many ways, the apotheosis of what so many of Hillary Clinton’s supporters are ready to overturn: the musty sleaziness that went out of style in the 1970s; the old bosses who want their secretaries pretty; the cigar-chomping power brokers who think sexual harassment is the woman’s problem; the drooling dimwits who have gotten further than they should have on connections and male privilege.",9,14,Trump,negative
74,allsides_1742_709_36_Donald Trump:_9_14,"Bush and Trump on that bus are, in so many ways, the apotheosis of what so many of Hillary Clinton’s supporters are ready to overturn: the musty sleaziness that went out of style in the 1970s; the old bosses who want their secretaries pretty; the cigar-chomping power brokers who think sexual harassment is the woman’s problem; the drooling dimwits who have gotten further than they should have on connections and male privilege.",0,4,Bush,negative
75,allsides_1749_712_8_Tim Kaine of Virginia_0_2,"He repeatedly dragged the conversation back to issues about racial justice, from policing to immigration, which worked to put Pence on the defensive while appealing to black and Latino voters (and anyone, really, who cares about racial justice).",126,131,Pence,negative
76,allsides_1749_712_8_Tim Kaine of Virginia_0_2,"He repeatedly dragged the conversation back to issues about racial justice, from policing to immigration, which worked to put Pence on the defensive while appealing to black and Latino voters (and anyone, really, who cares about racial justice).",0,2,He,positive
77,allsides_1750_712_5_Mike Pence_0_5,Pence deftly ignored much of Kaine’s immature invective and directed the audience’s attention to Hillary’s failed record and the clear themes of the Trump campaign.,0,5,Pence,positive
78,allsides_1750_712_5_Mike Pence_0_5,Pence deftly ignored much of Kaine’s immature invective and directed the audience’s attention to Hillary’s failed record and the clear themes of the Trump campaign.,97,104,Hillary,negative
79,allsides_1750_712_5_Mike Pence_0_5,Pence deftly ignored much of Kaine’s immature invective and directed the audience’s attention to Hillary’s failed record and the clear themes of the Trump campaign.,29,34,Kaine,negative
80,allsides_1750_712_7_Mike Pence_0_5,"Pence, speaking much more slowly and authoritatively, looked directly at the camera (something Kaine never did) and reiterated basic points about Hillary’s tax-and-spend policies and feckless foreign policy.",95,100,Kaine,negative
81,allsides_1750_712_7_Mike Pence_0_5,"Pence, speaking much more slowly and authoritatively, looked directly at the camera (something Kaine never did) and reiterated basic points about Hillary’s tax-and-spend policies and feckless foreign policy.",0,5,Pence,positive
82,allsides_1763_718_43_Hillary Clinton_8_15,Why let Hillary and Bill off the hook?,20,24,Bill,negative
83,allsides_1763_718_43_Hillary Clinton_8_15,Why let Hillary and Bill off the hook?,8,15,Hillary,negative
84,allsides_1765_719_38_Alicia Machado_47_58,"Regardless of how much Hillary Clinton wants Ms. Machado to be the poster child for misused women, she doesn’t fit the narrative.",45,56,Ms. Machado,negative
85,allsides_1765_719_38_Alicia Machado_47_58,"Regardless of how much Hillary Clinton wants Ms. Machado to be the poster child for misused women, she doesn’t fit the narrative.",23,38,Hillary Clinton,negative
86,allsides_1766_719_46_Trump_231_236,"Speaking to Clinton's traveling press pool Friday morning, the former secretary of state's communications director, Jennifer Palmieri, said lashing out at women after a poor debate performance has become something of a pattern for Trump, who also feuded with Fox News anchor Megyn Kelly after the first Republican primary debate.",12,19,Clinton,neutral
87,allsides_1766_719_46_Trump_231_236,"Speaking to Clinton's traveling press pool Friday morning, the former secretary of state's communications director, Jennifer Palmieri, said lashing out at women after a poor debate performance has become something of a pattern for Trump, who also feuded with Fox News anchor Megyn Kelly after the first Republican primary debate.",231,236,Trump,negative
88,allsides_1771_722_10_Trump_80_85,"In near uniformity, the voters said the outcome of the debate was the result of Trump’s failure rather than Clinton’s success.",80,85,Trump,negative
89,allsides_1771_722_10_Trump_80_85,"In near uniformity, the voters said the outcome of the debate was the result of Trump’s failure rather than Clinton’s success.",108,115,Clinton,neutral
90,allsides_1771_722_31_Hillary Clinton_1_16,"“Hillary Clinton is not a good candidate and Donald Trump is just a despicable person,” Nicole Gerson, an attorney in Philadelphia, reflected after the debate.",45,57,Donald Trump,negative
91,allsides_1771_722_31_Hillary Clinton_1_16,"“Hillary Clinton is not a good candidate and Donald Trump is just a despicable person,” Nicole Gerson, an attorney in Philadelphia, reflected after the debate.",1,16,Hillary Clinton,negative
92,allsides_1772_722_16_Donald Trump_127_132,"Edward Panetta, professor of communication studies at the University of Georgia and director of the Georgia Debate Union, said Trump got out of the gate fast, but then struggled.",0,120,"Edward Panetta, professor of communication studies at the University of Georgia and director of the Georgia Debate Union",neutral
93,allsides_1772_722_16_Donald Trump_127_132,"Edward Panetta, professor of communication studies at the University of Georgia and director of the Georgia Debate Union, said Trump got out of the gate fast, but then struggled.",127,132,Trump,negative
94,allsides_1772_722_17_Donald Trump_7_19,"“While Donald Trump was strong in the first 20 minutes of the debate he faltered badly as the debate progressed,” Panetta said.",114,121,Panetta,neutral
95,allsides_1772_722_17_Donald Trump_7_19,"“While Donald Trump was strong in the first 20 minutes of the debate he faltered badly as the debate progressed,” Panetta said.",7,19,Donald Trump,negative
96,allsides_1811_738_0_Hillary_25_32,Colin Powell: Everything Hillary Touches She Screws Up With Hubris,25,32,Hillary,negative
97,allsides_1811_738_0_Hillary_25_32,Colin Powell: Everything Hillary Touches She Screws Up With Hubris,6,12,Powell,neutral
98,allsides_1904_775_2_Hillary Clinton's_0_16,"""Hillary Clinton has turned over the only records nobody wants to see from her,"" said spokesman Jason Miller.",0,16,"""Hillary Clinton",negative
99,allsides_1904_775_2_Hillary Clinton's_0_16,"""Hillary Clinton has turned over the only records nobody wants to see from her,"" said spokesman Jason Miller.",102,108,Miller,neutral
100,allsides_1905_775_1_Hillary Clinton_2_17,"Hillary Clinton and her running mate, Tim Kaine, released a new batch of their own income tax returns on Friday, ratcheting up the pressure on her opponent, Donald J. Trump, to begin making public his own forms.",0,15,Hillary Clinton,positive
101,allsides_1905_775_1_Hillary Clinton_2_17,"Hillary Clinton and her running mate, Tim Kaine, released a new batch of their own income tax returns on Friday, ratcheting up the pressure on her opponent, Donald J. Trump, to begin making public his own forms.",38,47,Tim Kaine,neutral
102,allsides_194_79_4_John Kennedy_21_23,"After admitting that he had no experience trying a jury trial, civil trial, criminal trial, bench trial or state or federal court trial, Petersen revealed a stunning display of ignorance over fundamental legal facts.",137,145,Petersen,negative
103,allsides_194_79_4_John Kennedy_21_23,"After admitting that he had no experience trying a jury trial, civil trial, criminal trial, bench trial or state or federal court trial, Petersen revealed a stunning display of ignorance over fundamental legal facts.",21,23,he,negative
104,allsides_1950_791_19_when bereaved Benghazi mother Patricia Smith_86_100,"But Clinton — whose negligence contributed to Sean Smith’s death — essentially called Patricia Smith a liar on national TV, and few in the media objected.",86,100,Patricia Smith,negative
105,allsides_1950_791_19_when bereaved Benghazi mother Patricia Smith_86_100,"But Clinton — whose negligence contributed to Sean Smith’s death — essentially called Patricia Smith a liar on national TV, and few in the media objected.",4,11,Clinton,negative
106,allsides_1950_791_4_Hillary Clinton_79_86,"In an interview with Maureen Down of the New York Times, and again with former Clinton adviser George Stephanopoulos of ABC News, Trump was asked to respond to the speech, which Khan’s father gave while his mother stood silently.",102,116,Stephanopoulos,neutral
107,allsides_1950_791_4_Hillary Clinton_79_86,"In an interview with Maureen Down of the New York Times, and again with former Clinton adviser George Stephanopoulos of ABC News, Trump was asked to respond to the speech, which Khan’s father gave while his mother stood silently.",79,86,Clinton,neutral
108,allsides_1969_800_3_Wasserman Schultz_0_3,"She said her first priority is serving the people of her Florida congressional district while stressing the importance of helping elect Hillary Clinton, adding: ""Going forward, the best way for me to accomplish those goals is to step down as Party Chair at the end of this convention.""",122,151,helping elect Hillary Clinton,positive
109,allsides_1969_800_3_Wasserman Schultz_0_3,"She said her first priority is serving the people of her Florida congressional district while stressing the importance of helping elect Hillary Clinton, adding: ""Going forward, the best way for me to accomplish those goals is to step down as Party Chair at the end of this convention.""",0,3,She,positive
110,allsides_1972_801_7_Sanders_355_362,"“That is why, many, many months ago, I made it clear that I thought Debbie Wasserman Schultz should resign, should step down, not only because of the prejudice I think they showed during the campaign, but also because I think we need a new leadership in the Democratic Party, which is going to open up that party to working people, to young people,” said Sanders, who has endorsed Clinton but has not officially suspended his campaign.",68,92,Debbie Wasserman Schultz,negative
111,allsides_1972_801_7_Sanders_355_362,"“That is why, many, many months ago, I made it clear that I thought Debbie Wasserman Schultz should resign, should step down, not only because of the prejudice I think they showed during the campaign, but also because I think we need a new leadership in the Democratic Party, which is going to open up that party to working people, to young people,” said Sanders, who has endorsed Clinton but has not officially suspended his campaign.",355,362,Sanders,positive
112,allsides_1972_801_7_Sanders_355_362,"“That is why, many, many months ago, I made it clear that I thought Debbie Wasserman Schultz should resign, should step down, not only because of the prejudice I think they showed during the campaign, but also because I think we need a new leadership in the Democratic Party, which is going to open up that party to working people, to young people,” said Sanders, who has endorsed Clinton but has not officially suspended his campaign.",381,388,Clinton,neutral
113,allsides_1973_802_36_Clinton_24_39,"“It’s only fitting that Hillary Clinton would select an ethically challenged insider like Tim Kaine who’s personally benefited from the rigged system,” said Jason Miller, a spokesman for Mr. Trump.",90,99,Tim Kaine,negative
114,allsides_1973_802_36_Clinton_24_39,"“It’s only fitting that Hillary Clinton would select an ethically challenged insider like Tim Kaine who’s personally benefited from the rigged system,” said Jason Miller, a spokesman for Mr. Trump.",24,39,Hillary Clinton,negative
115,allsides_1977_804_10_Cruz_149_153,"Fifty-nine percent of Republicans picked Trump’s acceptance speech as the “defining moment” of the convention, far more than the 28 percent who said Cruz’s televised snub defined the week.",41,46,Trump,positive
116,allsides_1977_804_10_Cruz_149_153,"Fifty-nine percent of Republicans picked Trump’s acceptance speech as the “defining moment” of the convention, far more than the 28 percent who said Cruz’s televised snub defined the week.",149,153,Cruz,negative
117,allsides_1977_804_9_Trump_30_35,"For many of the GOP insiders, Trump’s acceptance speech Thursday night helped overcome other, rockier moments this week, including Ted Cruz’s speech, in which the Texas senator declined to endorse Trump, despite angry protestations from the crowd at Quicken Loans Arena.",30,35,Trump,positive
118,allsides_1977_804_9_Trump_30_35,"For many of the GOP insiders, Trump’s acceptance speech Thursday night helped overcome other, rockier moments this week, including Ted Cruz’s speech, in which the Texas senator declined to endorse Trump, despite angry protestations from the crowd at Quicken Loans Arena.",135,139,Cruz,negative
119,allsides_1988_808_37_Mrs. Obama_63_68,"Stephanie Cutter, a Democratic strategist who has also been an Obama adviser, argued that the controversy revealed an inability among people closest to Mr. Trump to talk about his character.",152,161,Mr. Trump,negative
120,allsides_1988_808_37_Mrs. Obama_63_68,"Stephanie Cutter, a Democratic strategist who has also been an Obama adviser, argued that the controversy revealed an inability among people closest to Mr. Trump to talk about his character.",63,68,Obama,neutral
121,allsides_1988_808_46_Mrs. Obama_0_9,"Mr. Obama, then a senator, said that he should have credited Mr. Patrick but that he did not consider it a case of plagiarism.",61,72,Mr. Patrick,positive
122,allsides_1988_808_46_Mrs. Obama_0_9,"Mr. Obama, then a senator, said that he should have credited Mr. Patrick but that he did not consider it a case of plagiarism.",0,9,Mr. Obama,negative
123,allsides_1998_814_0_Donald Trump_11_16,CONFIRMED: Trump/Pence 2016,17,22,Pence,neutral
124,allsides_1998_814_0_Donald Trump_11_16,CONFIRMED: Trump/Pence 2016,11,16,Trump,neutral
125,allsides_1999_814_27_Mike Pence_37_42,"So, if Mr. Trump is comfortable with Pence, sounds like a good deal.”",37,42,Pence,positive
126,allsides_1999_814_27_Mike Pence_37_42,"So, if Mr. Trump is comfortable with Pence, sounds like a good deal.”",11,16,Trump,positive
127,allsides_1999_814_29_Mike Pence_48_53,"Trump added that he was impressed with the way Pence has run Indiana, and that picking him would lock down the state’s electoral votes.",47,52,Pence,positive
128,allsides_1999_814_29_Mike Pence_48_53,"Trump added that he was impressed with the way Pence has run Indiana, and that picking him would lock down the state’s electoral votes.",0,5,Trump,neutral
129,allsides_1999_814_33_Mike Pence_68_73,"Trump picking Mike Pence would be hilarious considering how quickly Pence caved to gay activists 2yrs ago. By signing on with the Trump campaign, Pence would disqualify himself from running for re-election as governor.",0,5,Trump,negative
